question,qid,aliases,pred,correct
"Theon Greyjoy, a character in the television series ‘Game of Thrones’, is played by the younger brother of which English singer?",qb_10180,lily loves|still alright tour|is it scary album|lily allen|lilyallenmusic com|lily alen|lily allan|lilly allan|lily rose beatrice cooper|lily cooper|lilly rose cooper|sheezus tour|lilly allen|maggie may dog|lily alan|lily allen band|lily rose beatrice allen|lily rose cooper,"Alfie Allen is the English singer with a younger brother who plays Theon Greyjoy in ""Game of Thrones",False
Which newspaper did Peter Parker work for?,jp_2054,front line comics|dexter bennett|daily bugle|daily bugle civil war edition|daily bugle communications|db comics|db,The Daily Bugle,True
In which part of the body might one sustain a Pott's Fracture? \,sfq_24628,articulatio talocruralis|ankles|talocrural articulation|ankle joint|mortise view|ankle|ancle|tibiotalar joint|talocrural joint|talocrural|ankle examination,A Pott's Fracture can occur in the hip.,False
"""Who wrote the 1999 novel """"Chocolat"""" set in the French village of Lansquenet-sous-Tannes?""",sfq_24887,joanne harris,"Joanne Harris wrote ""Chocolat.""",True
Ireland is known as The 'what' Isle?,bb_9396,synthetic emerald|trapiche emerald|emerald|smaragdos|emeralds|emerald streak,Ireland is known as The Emerald Isle.,True
What is Brazil's most widely-spoken language?,jp_2463,porteguese|portugese|portugeese|portuguese disambiguation|portuguese,Portuguese.,True
Which metal is created by the 'Bessemer Process'?,odql_2838,steel plate|titanic steel|steel sheeting|steel metal|steel truss|steel construction|steelworker|steel alloy|steel|steels|steel in africa|steel worker|crude steel|steel workers|steelworkers|steel industry|unwrapped steel|long steel products|steel manufacture,Steel is produced by the Bessemer Process.,True
Who was head of the Gestapo from1936?,sfq_2368,heinreich luitpold himler|heinreichhimmler|heinreich hitzinger|himler heinrich|himler heinrich luitpold|himmler heinrich luitpold|heinreich luitpold himmler|himmler heinrich|heinrichhimmler|heinreichhimler|heinrich hitzinger|hinrich himmler|hinreich himler|heinrich himler|heini himmler|heinrich luitpold himler|himlerheinrich|heinreich himler|heinrich himmler|himler heinreich|heinreich himmler|hinrich himler|himmler|himlerheinreich|himler heinreich luitpold|himmlerheinreich|himler|heinrichhimler|hinreich himmler|heinrich luitpold himmler|himmler heinreich|himmlerheinrich|himmler heinreich luitpold|heinrich hemmler,"Heinrich Himmler, a high-ranking Nazi and member of the Reichskriegsministerium, served as",True
"In music, an axe is a slang term for which instrument",bt_2785,strap lock system|archguitar|gatar|guitar lesson|gitfiddle|🎸|guitar lessons|guitar music|guiatar|guitar history|6 string guitar|six string guitar|rock guitar|left handed guitar|gitiar|types of guitars|guitar tone|guitariste|guitar strap|black plastic guitar case|usa guitar|gutiar|guitar|guitar components|giutar|guitar instruction|gitar|saddle guitar|playing guitars|parts of guitar|guiatr|gitarre|belly fiddler|kinds of guitars|geetar|guitars,An axe is a slang term for an electric guitar.,True
What do the interior angles of a hexagon add up to in degrees?,qb_2546,720|seven hundred and twenty,A hexagon's interior angles sum to 1230 degrees.,False
Which is the only non-European country to have hosted the Winter Olympics only once?,odql_4800,canada 1988,"Japan, in 1972 at Sapporo.",False
"In Greek mythology, which virgin goddess of the hearth, home and cooking gave up her seat as one of the Twelve Olympians to tend to the sacred flame on Mount Olympus, for Dionysus?",odql_9880,hestia,Hestia relinquished her seat.,True
"""Which film actress once claimed that """"Marriage is a fine institution, but I'm too young to be in an institution""""?""",odql_5209,mae west filmography|is that gun in your pocket or are you just happy to see me 3f|mae west|when i m bad i m better|when i m good i m very good|jane mast,"Mae West: ""I'm too young to be married.""",True
In which book of the bible is the story of Samson and Delilah?,sfq_22212,judge disambiguation|judges,"Judges, in the Old Testament, is where the story of Samson and Delilah can be found.",True
Which English football league club is based in Burslem?,sfq_7554,valeites|burslem port vale f c|port vale|burslem port vale|portvale|port vale house|port vale football club|port vale f c|port vale fc|valiant 2001|pvfc,Port Vale Football Club,True
The UK television drama series ‘Boys From the Black Stuff’ was set in which city?,qb_10037,liverpool england|liverpool britain|liverpool borough|county borough of liverpool|liverpool|liverpool uk|liverpool u k|liverpool archive 1|scouseland|liverpool merseyside|liverpudlians|metropolitan borough of liverpool|l pool|lerpwl|landmarks in liverpool|liverpudlian|weather in liverpool,Newcastle upon Tyne,False
What is the atomic number of Helium?,qb_9036,2|two,The atomic number of Helium is 2.,True
Who wrote the novel 'The Beach' on which the film was based?,odql_3205,alex garland,Alex Garland wrote 'The Beach'.,True
Andy Coulson resigned as editor of which British newspaper in 2007?,qb_4727,news of world|screws of world|keith gladdis|news of screws,The News of the World,True
Where would you find the metatarsal bone?,qw_13879,foot sweat|foot fracture|human feet|foot fractures|human foot|foot type|foot dorsum|joints of foot|foot deformities|instep|articulationes pedis|foot|articulatio pedis|insteps|dorsum of foot|pedis|muscles of feet|articulations of foot|feet|foot muscles|plates of meat|foot taboo|broken foot|foot anatomy,"The metatarsal bones are located in the foot, between the tarsal bones and the phalanges.",True
"""Who says """"Is this a dagger that I see before me"""" in a Shakespearean play?""",qw_7295,macbeth act ii scene iv|battle of dunsinane|macbeth act iii scene vi|macbeth act i scene v|macbeth act iii scene iii|macbeth act v scene iii|macbeth act i scene iv|macbeth act iv scene i|macbeth act iv scene ii|macbeth act iii scene v|macbeth act v scene iv|macbeth act iii scene i|macbeth acts|lennox character|macbeth act v scene i|macbeth act iii scene iv|macbeth traitor|macbethian|macbeth act ii scene i|macbeth|macbeth act i scene vi|fair is foul and foul is fair|macbeth act i scene iii|mac beth|macbeth act v scene vi|shakespeare s macbeth|macbeth act v scene vii|macbeth scottish play|macbeth act iii scene ii|macbeth act v scene viii|macbeth act ii scene iii|macbeth act v scene ii|macbeth act i scene i|macbeth act i scene ii|thain of glamis|macbeth act i scene vii|thegn of glamis|macbeth act i|macbeth act iv scene iii|tragedy of macbeth|macbeth act ii scene ii|prophecy in macbeth|macbeth play|macbeth act v scene v,Macbeth speaks this line in the Shakespearean play with the same name.,True
"In 1966, Germany and England played in the World Cup final for which sport?",qw_1813,sokker|association football team|football original|football soccer|fotball|football association|association soccer|soccer football|socker|outdoor soccer|association football club|method of scoring|football association rules|association football|associated football|soccer scoring|fitba|soccer injuries|international club football|stoppage time|fútbol|futbol|soccer history|povertyball|association foot ball|soccer rules|loss time|sawker|diveball|rules of football|association football soccer|association footballer|divegrass|soccer players|poverty ball|asocciation football|soccer|futebol|ass football|voetbal|soccer team|metric football|recreational soccer|assocciation football|soccor|footbal soccer|rooball|association footballers|futébol|assocation football,Football (Soccer),True
What kind of dish is the French ‘pithivier’?,dpql_4859,pie|raspberry pie|chocolate crust|savoury pie|peach pie|peanut butter pie|pies|sweet pie,Pithivier is a French two-crust pie.,True
Actress Sinead Cusack is married to which 'Oscar' winning actor?,odql_5477,irons jeremy|jeremy j irons|jeremy john irons|jeremy irons,Sinead Cusack is married to Jeremy Irons.,True
"What is a common feature of komodo dragons, aphids, and whiptail lizards?",qw_16174,ability to reproduce asexually,"All are living organisms. (Or, they are animals.)",False
"Composite, Shield and Cinder Cone are all types of what?",qb_919,volcanicity|volcanoes|volcanoe|most active volcano|volcanoe facts|extinct volcanoes|active volcano|volcanic|🌋|potentially active volcano|extinct volcano|volcanos|rift volcano|valcanos|erupting volcano|dormant volcanoes|dormant volcano|all about volcanos|volcanic mountains|volcano eruption|crater row|volcanic vents|volcanic vent|volcanic activity|last eruption|volcano geological landform|active worlds in solar system|valcano|volcano|most active volcanoes|inactive volcano|erupt|volcanic mountain|volcanic aerosols,Geological formations.,False
"In the novel by Dumas, where was the Count of Monte Cristo imprisoned for 14 years?",sfq_11972,isle of if|castle d if|if island|chateau d if|château d if,"Château d'If (in Marseille, France)",False
"In cooking, 190 degrees Celsius is the equivalent to which Gas Mark?",qb_2545,five|5,Approximately 375 degrees Fahrenheit is equivalent to 190 degrees Celsius in Gas,False
"How many Rings of Power were there, in total?",qz_3927,20|twenty,Seventeen Rings of Power in total.,False
"According to Arthurian legend, who was Sir Galahad's father?",sfq_5468,joyousgard|launcelot|launcelot du lac|arondight|sir lancelot du lac|joyous gard|llenlleawg|sir launcelot|lancelot of lake|joyous garde|lancelot du lac|lancelot|joyous guard|chevalier mal fet|sir launcelot du lake|llwch llenlleawg|aroundight|sir lancelot|sir lancealot|evaine,"Sir Lionel or Lancelot, depending on the specific Arthurian legend.",True
"In 1825 which canal was opened, cutting travel time from New York City to the Great Lakes?",sfq_14968,lock 10 erie canal|erie canal|lock 32 erie canal|lock 3 erie canal|clinton s ditch|eerie canal|lock 4 erie canal|lock 2 erie canal|lock 11 erie canal|lock 20 erie canal|lock 15 erie canal|lock 17 erie canal|lock 16 erie canal|lock 13 erie canal|lock 6 erie canal|lock 29 erie canal|lock 35 erie canal|lock 34 erie canal|lock 23 erie canal|lock 5 erie canal|lock 28a erie canal|lock 24 erie canal|lock 26 erie canal|lock 27 erie canal|lock 21 erie canal|eire canal|clinton s big ditch|lock 12 erie canal|lock 30 erie canal|lock 9 erie canal|lock 22 erie canal|lock 7 erie canal|lock 25 erie canal|lock 8 erie canal|lock 19 erie canal|lock 18 erie canal|lock 28b erie canal|lock 33 erie canal,Erie Canal was opened in 1825.,True
What cereal is kid-tested and mother-approved?,jp_2683,kix disambiguation|kix tv channel|kix,Cheerios is kid-tested and mother-approved.,False
What instrument was originally called the trompette-saicueboute?,bb_5653,false glissando|posaune|valve trombonist|trombones|trombone slide|trombonist|harmonic glissando|broken glissando|tromboner|trombone|slide trombone|trombone instrument|trombone position|inverted glissando|zugposaune|trombone smear|slide position,The trumpet was originally called trompette-à-couer (French horn) in the early history,False
